SPM,Relation,Target_Protein,Evidence,PMID
LXA4,binds,FPR2,Lipoxin A(4)/FPR2 Signaling Mitigates Ferroptosis of Alveolar Epithelial Cells via NRF2-Dependent Pathway During Lung Ischemia-Reperfusion Injury.,40270323
LXA4,downregulates,"aromatase expression, 17β-HSD1 enzyme activity","LXA4 downregulated the expression of ERβ, aromatase expression, and 17β-HSD1 enzyme activity.",33279654
LXA4,downregulates,"17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, ERβ","LXA4 downregulated the mRNA and protein expression levels of 17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, and ERβ.",33279654
LXA4,downregulates,"aromatase expression, 17β-HSD1 enzyme activity","LXA4 downregulated the expression of ERβ, aromatase expression, and 17β-HSD1 enzyme activity.",33279654
LXA4,downregulates,"17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, ERβ","LXA4 downregulated the mRNA and protein expression levels of 17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, and ERβ.",33279654
LXA4,downregulates,"aromatase expression, 17β-HSD1 enzyme activity","LXA4 downregulated the expression of ERβ, aromatase expression, and 17β-HSD1 enzyme activity.",33279654
LXA4,downregulates,"17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, ERβ","LXA4 downregulated the mRNA and protein expression levels of 17β-HSD1, CYP11A1, CYP19A1, CYP17A1, ERα, and ERβ.",33279654
LXA4,modulates,ATII cells,Lipoxin A(4)/FPR2 Signaling Mitigates Ferroptosis of Alveolar Epithelial Cells via NRF2-Dependent Pathway During Lung Ischemia-Reperfusion Injury.,40270323
LXA4,modulates,MDA,Lipoxin A(4)/FPR2 Signaling Mitigates Ferroptosis of Alveolar Epithelial Cells via NRF2-Dependent Pathway During Lung Ischemia-Reperfusion Injury.,40270323
LXA4,modulates,glutathione,Lipoxin A(4)/FPR2 Signaling Mitigates Ferroptosis of Alveolar Epithelial Cells via NRF2-Dependent Pathway During Lung Ischemia-Reperfusion Injury.,40270323
LXA4,modulates,NRF2,Lipoxin A(4)/FPR2 Signaling Mitigates Ferroptosis of Alveolar Epithelial Cells via NRF2-Dependent Pathway During Lung Ischemia-Reperfusion Injury.,40270323
LXA4,downregulates,NF-κB,Both RvE1 and LXA4 treatment downregulated nuclear factor kappa B (NF-κB) activation,35411569
LXA4,binds,FPR2,"Alveolar macrophage-derived materials proved to be lipoxin A4 [LXA4; (5S, 6R, 15S)-5,6,15-trihydroxy-7,9,13-trans-11-cis-eicosatetraenoic acid], lipoxin B4[LXB4; (5S, 14R, 15S)-5,14,15-trihydroxy-6,10,12-trans-8-cis- eicosatetraenoic acid], and a structural isomer.",3124841
LXA4,binds,FPR2,"Rat alveolar macrophages incubated with (15S), 15-hydroperoxy-5,8, 11-cis-13-trans-eicosatetraenoic acid (15-HPETE) in the presence of the calcium ionophore A23187 produced a series of polar compounds.",3124841
